id,game_name,hours_played,player_count,review_rating,review_count,tag_value
34,convallis tortor risus dapibus augue vel,2397,243162,5,276475,2
35,est risus auctor sed tristique,1083,291215,5,40104,1
36,in faucibus,3627,189575,6,136403,3
37,risus praesent lectus vestibulum quam sapien varius,2969,270844,7,242788,2
38,congue etiam justo etiam,2058,298243,9,174522,1
39,aenean lectus pellentesque,1787,265637,5,157001,4
40,metus sapien ut nunc vestibulum,2216,181119,8,246322,5
41,nec nisi volutpat eleifend,1294,36819,5,39795,1
42,id mauris vulputate elementum nullam,2872,28036,8,155576,3
43,dui nec nisi volutpat,2201,140556,9,137820,4
44,odio in hac,832,228281,8,64379,4
45,lacus morbi quis tortor id nulla,3658,201066,8,211558,5
46,lobortis ligula,3956,71578,5,74772,1
47,dui vel nisl duis,2233,143679,6,116394,5
48,semper sapien a,255,45080,8,82531,4
49,erat vestibulum,3245,136596,9,121237,3
50,elit sodales scelerisque,2766,59981,7,190213,2
51,ultrices posuere,1087,163845,5,238913,1
52,vivamus metus arcu adipiscing,2266,181620,7,40077,1
53,mus etiam vel augue vestibulum rutrum rutrum,3557,36684,8,291800,2
54,eu est,3696,75069,6,131788,2
55,mollis molestie lorem quisque ut erat curabitur gravida,2372,56470,6,199657,3
56,massa donec dapibus duis at,3637,276598,8,95534,3
57,ut erat id mauris,3326,18460,8,259176,3
58,turpis a pede posuere nonummy integer non velit,2507,192024,5,195801,5
59,at turpis donec posuere metus vitae ipsum,2577,57927,5,213509,5
60,sed vestibulum sit amet cursus,967,185349,6,202685,1
61,nunc vestibulum,188,174155,5,116826,2
62,rutrum at lorem integer,1001,57739,5,290677,3
63,quisque id,1957,41195,5,144017,3
64,adipiscing elit proin risus praesent,238,230979,8,98210,4
65,donec semper sapien a libero nam dui,3170,92865,9,299431,2
66,ut massa quis augue luctus,3974,162440,8,19694,4
67,lectus vestibulum quam sapien varius,2171,151716,7,161595,4
68,risus auctor sed tristique in tempus,3171,22827,8,67096,2
69,habitasse platea,2041,163222,8,59939,2
70,massa id nisl venenatis lacinia aenean sit amet,2091,16426,5,106170,2
71,integer tincidunt ante vel,482,45597,5,234288,3
72,mattis nibh,2703,19075,5,172107,2
73,sit amet eros suspendisse accumsan tortor quis turpis,2157,273778,8,96443,1
74,sociis natoque penatibus,1991,48688,9,165132,5
75,sed magna at,3367,73881,9,38518,3
76,donec diam neque,259,118295,8,295935,1
77,a feugiat et eros vestibulum ac,489,26152,5,151324,5
78,congue diam id ornare imperdiet,238,43831,7,51559,2
79,quis orci nullam molestie,2678,286757,8,162503,5
80,nulla quisque arcu libero rutrum ac lobortis,3292,251016,8,285948,1
81,sed nisl,829,80324,7,139350,3
82,lectus suspendisse potenti in eleifend,2903,53622,7,13647,5
83,integer ac leo pellentesque ultrices,194,38680,6,273978,1
84,sodales sed tincidunt,2855,107972,6,29153,4
85,integer ac neque,2361,199332,6,131052,3
86,consectetuer adipiscing elit,1107,116688,6,229455,1
87,odio donec vitae nisi nam ultrices libero non,1166,138253,6,79214,5
88,auctor gravida sem praesent id massa id,262,119621,7,258644,2
89,sed tincidunt eu felis fusce,1397,37289,7,191923,2
90,molestie hendrerit at vulputate,3797,144462,7,88035,3
91,dictumst morbi vestibulum,2968,252869,5,223814,4
92,curabitur convallis duis consequat dui,523,209587,6,103221,3
93,ipsum integer,3907,85428,5,186620,5
94,id pretium iaculis diam erat,1315,114233,6,93053,5
95,nullam porttitor lacus,483,172896,7,259522,5
96,justo lacinia eget tincidunt,1258,80239,8,171592,4
97,a nibh in quis justo,3714,263246,9,286940,5
98,ut at,519,164516,8,202500,2
99,condimentum id luctus nec molestie sed justo,1232,192090,8,91274,1
100,cras non velit nec nisi vulputate,924,91763,9,214808,3
101,semper porta volutpat quam pede,139,206151,7,195545,4
102,interdum mauris ullamcorper purus sit amet nulla quisque,3793,245904,6,108854,3
103,rutrum ac lobortis vel dapibus at diam nam,45,119426,6,15711,4
104,lacus morbi sem mauris laoreet ut rhoncus aliquet,3571,179572,5,67972,2
105,nulla ut erat,3613,138215,9,226529,1
106,habitasse platea dictumst morbi vestibulum velit id,3634,58196,7,232802,1
107,amet justo morbi ut odio cras mi pede,1911,108547,9,263246,2
108,sem praesent id,954,35894,5,14142,2
109,luctus nec molestie sed,717,165627,5,145070,1
110,nulla ac enim in tempor,958,270925,6,20809,5
111,vehicula consequat morbi a ipsum integer a,245,130045,6,83547,3
112,consequat dui,796,291983,9,51284,2
113,nulla ultrices aliquet maecenas leo odio condimentum id,2134,153890,9,58657,5
114,sapien iaculis congue vivamus metus,3259,56146,5,222381,1
115,montes nascetur,3351,100854,5,158582,1
116,orci nullam molestie nibh in lectus pellentesque at,3337,248782,8,170291,5
117,est congue elementum in hac,1080,94821,6,135569,5
118,eu tincidunt in leo,1208,182687,8,244864,5
119,erat eros viverra eget congue,1457,194993,5,298449,2
120,interdum mauris,3169,147314,5,84925,4
121,rhoncus aliquam lacus morbi quis,3043,172871,7,57730,3
122,donec pharetra magna vestibulum aliquet ultrices erat tortor,1666,250045,7,46961,3
123,dapibus augue vel accumsan tellus nisi eu,2793,145714,5,197732,2
124,suspendisse accumsan,2610,95072,9,95268,4
125,integer pede justo lacinia eget tincidunt,3629,122336,6,176486,4
126,lacus morbi,117,77590,5,7676,4
127,in magna bibendum imperdiet nullam,212,262603,7,103897,2
128,consectetuer adipiscing,2254,83788,5,159339,5
129,nam congue risus semper porta volutpat quam,3001,12351,8,216438,5
130,vel augue,1181,118671,9,250123,5
131,nunc viverra,364,174578,5,155731,2
132,nibh quisque,3671,247784,9,19452,4
133,cursus urna ut tellus nulla,1507,111733,6,95380,2
134,ultrices phasellus id sapien in,2956,139908,5,33636,4
135,metus arcu adipiscing molestie hendrerit at,1322,126478,6,160344,1
136,in ante vestibulum ante ipsum primis in,1539,201930,8,31272,5
137,sit amet eleifend pede,1004,235597,9,201278,1
138,cum sociis,3355,106595,5,279812,1
139,nisi nam ultrices libero non mattis pulvinar,2060,271272,7,121871,2
140,ultrices posuere cubilia curae nulla dapibus dolor vel,1374,139361,7,182982,3
141,volutpat eleifend donec ut dolor morbi,580,97542,8,25776,4
142,imperdiet nullam orci pede venenatis non,2235,94491,8,253962,5
143,mus vivamus vestibulum sagittis,2222,108800,9,204354,3
144,nisl aenean lectus pellentesque eget nunc donec quis,2215,77535,8,138392,2
145,non mauris morbi non lectus aliquam sit amet,3966,227607,6,252052,3
146,ut volutpat sapien arcu,395,260806,6,279264,2
147,duis consequat dui nec nisi volutpat,2688,236562,6,48211,4
148,nulla justo aliquam quis,3764,145678,7,231503,1
149,ut ultrices vel augue vestibulum ante ipsum,2626,71069,5,260011,3
150,enim leo rhoncus sed,328,85091,6,187981,1
151,eu est,1067,158553,5,16108,1
152,venenatis turpis enim blandit mi,3916,15424,5,77319,3
153,interdum mauris ullamcorper purus,1361,118866,5,189982,1
154,amet turpis elementum ligula,367,143254,5,79787,5
155,quisque id justo sit amet sapien dignissim,984,131554,9,20625,1
156,ornare consequat lectus,1275,87669,6,146998,3
157,urna ut tellus,1941,124247,8,223679,5
158,cubilia curae donec pharetra magna vestibulum,1150,229535,9,53482,1
159,ante nulla justo,1165,76013,5,169566,5
160,pede morbi porttitor lorem id ligula suspendisse,880,280515,9,36220,2
161,felis eu sapien cursus,2657,51687,6,231853,3
162,vestibulum vestibulum,100,111631,5,182170,2
163,at turpis donec posuere metus,2542,194121,6,20682,1
164,etiam justo etiam pretium iaculis,2003,99543,7,230893,3
165,erat volutpat in,1103,236581,7,54591,3
166,quis tortor id nulla ultrices aliquet,396,293310,8,106659,5
167,eleifend quam a odio in hac,1329,11628,7,278175,5
168,ipsum dolor sit,3145,13223,7,227274,1
169,luctus cum sociis natoque penatibus et magnis,3465,256220,8,13060,3
170,commodo placerat praesent,2191,156121,5,205989,5
171,pulvinar nulla pede,3892,191124,5,269985,1
172,at feugiat non pretium,3901,277871,5,101719,2
173,curabitur gravida nisi at nibh in hac habitasse,3152,94490,8,249489,4
174,sed tristique,3124,158120,5,163164,4
175,dui luctus rutrum nulla tellus in sagittis dui,1027,23056,7,74535,2
176,eget congue eget semper rutrum,90,31200,5,18312,3
177,sed lacus morbi sem,629,159607,7,146939,2
178,tempor convallis nulla neque libero convallis eget eleifend,3328,263565,5,267607,5
179,quam pharetra,1005,167352,7,194975,3
180,vel ipsum praesent blandit lacinia,3162,70693,7,129220,2
181,suscipit nulla elit ac nulla sed vel enim,1261,64804,7,71996,1
182,est phasellus sit amet erat nulla tempus vivamus,468,154600,6,73134,3
183,erat volutpat in congue etiam justo etiam,3190,219645,6,112652,3
184,phasellus id sapien in sapien,2857,39090,9,177425,3
185,platea dictumst aliquam augue quam,3290,62024,9,293030,2
186,ipsum primis in faucibus orci luctus et,1869,267492,5,210303,5
187,eget tincidunt eget tempus,2387,209299,6,299144,5
188,lacus at turpis donec,2326,133251,9,282636,5
189,amet justo morbi ut odio,43,237695,9,28530,3
190,purus phasellus in felis donec semper,3856,52059,9,96267,1
191,morbi non quam nec,748,64048,5,227101,4
192,in tempor turpis,3593,185516,6,49147,2
193,amet consectetuer adipiscing elit proin risus praesent lectus,1657,31060,5,111959,1
194,gravida sem,1783,85045,7,33858,2
195,arcu libero rutrum ac lobortis vel,3816,152735,7,100022,5
196,ut volutpat sapien arcu,3054,240904,7,131740,3
197,erat tortor sollicitudin mi sit amet,3878,247859,6,172052,5
198,felis ut at dolor quis,45,54767,5,165582,5
199,convallis tortor risus dapibus augue vel,1722,146982,6,118488,3
200,semper est,2384,33569,6,170198,1
201,habitasse platea dictumst morbi vestibulum velit id,3511,80057,7,263158,1
202,in blandit ultrices enim lorem ipsum dolor,399,77810,7,128545,1
203,congue etiam justo etiam pretium iaculis,3569,75044,5,52065,1
204,urna pretium nisl,3619,173237,5,264973,3
205,dolor morbi vel lectus in quam,2665,260440,8,238102,2
206,duis at velit,454,80291,5,38474,4
207,consequat metus sapien ut,2328,255194,9,107112,3
208,morbi non quam nec dui luctus rutrum,112,67087,8,32253,3
209,vestibulum eget vulputate ut ultrices,588,195778,7,32342,3
210,ultrices aliquet maecenas,2082,55296,6,259252,5
211,ut erat curabitur gravida,1427,178125,9,180203,2
212,vulputate vitae nisl aenean lectus pellentesque,112,44034,5,84949,4
213,purus eu magna vulputate luctus cum sociis natoque,2350,238391,8,296269,1
214,mollis molestie lorem quisque ut,2460,135764,9,66879,1
215,faucibus orci luctus,385,170356,8,142191,3
216,nulla integer,855,100128,5,21485,4
217,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,932,108568,5,233743,2
218,nulla pede ullamcorper augue,3247,218417,8,88722,5
219,morbi non quam nec,3191,269249,9,31310,5
220,quis libero nullam sit amet,3782,36941,9,289898,1
221,elementum nullam varius nulla facilisi cras non,2816,221399,6,41404,1
222,eu massa donec dapibus,3330,78734,7,96562,4
223,in quam,1432,220369,8,15502,1
224,aliquam non mauris morbi non lectus aliquam sit,34,281392,8,203459,4
225,quisque arcu libero rutrum ac lobortis vel,3622,157211,7,107224,1
226,habitasse platea dictumst aliquam augue quam,2395,152604,9,66471,3
227,lacus at velit vivamus vel nulla eget eros,949,193551,8,17324,2
228,venenatis non sodales sed tincidunt eu felis,2810,211259,7,16364,3
229,faucibus orci luctus et,3524,156064,5,183274,5
230,tincidunt ante vel ipsum praesent blandit lacinia,3812,69762,5,299264,3
231,duis at velit eu est congue elementum in,1010,93547,5,282858,2
232,donec odio justo sollicitudin ut suscipit a feugiat,2143,292888,8,189084,2
233,orci mauris lacinia sapien quis libero nullam,2201,48379,6,29810,1
234,sed vel,1045,257937,8,182437,3
235,vitae quam suspendisse potenti,1420,70796,6,210490,5
236,felis fusce posuere felis sed lacus morbi sem,3365,197233,7,235574,1
237,lectus aliquam sit amet diam,1584,35847,6,191492,5
238,consequat varius integer ac leo pellentesque ultrices mattis,3518,154633,8,201230,4
239,lectus vestibulum,3919,179987,7,217555,4
240,nisl venenatis lacinia aenean sit amet justo morbi,1907,220642,6,226704,5
241,nascetur ridiculus mus vivamus,1666,65857,7,2474,2
242,leo odio porttitor,1979,192641,7,20440,3
243,potenti in eleifend quam a odio in hac,2938,191948,5,83218,4
244,maecenas ut,832,240537,7,25948,2
245,enim in tempor turpis nec euismod scelerisque quam,2741,71386,9,103585,5
246,morbi a ipsum integer a nibh,62,26476,7,77007,3
247,ut erat curabitur gravida,3861,175606,6,228045,2
248,lacus at velit vivamus vel nulla,1518,232650,6,267614,3
249,integer ac neque duis,3446,107826,5,256254,5
250,venenatis non sodales sed tincidunt eu felis,31,206434,7,61346,4
251,lacus at velit vivamus,3396,147993,7,250091,4
252,erat curabitur gravida nisi,3529,100079,5,299198,3
253,accumsan odio curabitur convallis duis consequat,2580,144070,7,18103,2
254,eget elit sodales scelerisque,809,27596,5,186675,1
255,tempus semper,1132,183907,9,191146,5
256,libero nullam,2199,75077,9,216996,4
257,risus semper porta volutpat quam pede,2710,296868,9,287838,4
258,integer ac neque duis bibendum morbi non,1912,292140,6,25417,5
259,vestibulum ante ipsum primis in,2539,94389,8,249306,3
260,lacus curabitur at ipsum ac,2463,64503,9,273505,5
261,eu massa donec,2619,130487,9,233687,5
262,lacus at turpis donec,2054,169037,8,81810,5
263,non mauris morbi non lectus aliquam sit amet,2402,99209,8,252400,2
264,tincidunt in leo maecenas pulvinar,383,283771,5,83063,2
265,erat tortor sollicitudin mi sit amet lobortis sapien,849,33944,5,219875,1
266,in sapien iaculis congue vivamus metus,3597,200673,9,263949,5
267,volutpat erat quisque erat,2796,80197,8,295071,2
268,risus auctor sed tristique in,591,192942,6,137397,1
269,dolor vel est,1838,145861,6,126437,3
270,mus vivamus vestibulum sagittis,1210,135125,8,261496,4
271,condimentum curabitur in libero ut massa,235,94402,8,224826,3
272,ut at dolor quis,1506,233622,5,134318,3
273,felis donec semper sapien a,3937,282546,5,159765,5
274,suspendisse ornare consequat lectus in est risus auctor,76,274825,8,226327,3
275,odio curabitur convallis duis consequat dui nec nisi,2170,230824,9,109427,1
276,molestie hendrerit at vulputate vitae nisl,2152,161644,8,54980,4
277,dolor sit amet consectetuer adipiscing elit proin interdum,900,121444,8,242897,4
278,ullamcorper augue a suscipit nulla elit,3509,15289,5,167971,5
279,tempor convallis nulla neque,3086,78156,7,79412,1
280,augue vel accumsan tellus nisi eu,203,124512,9,109057,5
281,bibendum morbi,951,16653,6,56989,4
282,proin leo,3901,71408,8,31073,4
283,amet diam in magna bibendum imperdiet nullam,2631,166545,9,208331,5
284,luctus rutrum nulla tellus in sagittis dui vel,19,222019,8,236831,1
285,ut massa volutpat,3866,66264,9,263289,3
286,amet sapien dignissim vestibulum vestibulum,3424,250881,5,17793,1
287,semper porta volutpat quam pede lobortis,1818,31877,7,147457,2
288,luctus et ultrices posuere cubilia curae,596,59375,8,71959,3
289,turpis enim blandit,1256,132202,9,10398,4
290,congue etiam justo etiam pretium,2769,71727,7,276582,1
291,cubilia curae duis faucibus accumsan,1394,281831,5,136322,4
292,at ipsum,100,53438,5,82987,1
293,libero rutrum ac lobortis,3144,204710,7,245723,2
294,vestibulum sed magna at,400,56136,8,93913,4
295,dolor quis odio consequat varius integer ac,2675,53529,8,76514,3
296,pulvinar nulla pede ullamcorper augue a suscipit,2458,292747,7,282177,5
297,nam congue risus semper porta volutpat,3009,195535,5,167003,2
298,ultrices aliquet maecenas leo odio condimentum id,1696,263966,8,184136,1
299,volutpat sapien arcu sed,3142,119979,5,37514,5
300,parturient montes,3152,171466,5,242189,2
301,a odio in hac habitasse platea,2506,93858,9,49095,4
302,posuere cubilia curae duis faucibus accumsan,263,163714,6,74873,5
303,mauris sit amet eros,3970,107500,6,162665,3
304,quam fringilla rhoncus mauris enim,3787,164605,7,134778,1
305,dapibus nulla suscipit,896,125173,9,182313,2
306,tincidunt ante vel ipsum,2264,92221,8,90084,5
307,nibh in quis justo,2833,275958,5,74917,2
308,eu tincidunt,1513,150436,6,275357,2
309,velit id pretium iaculis,782,149021,5,26921,1
310,venenatis turpis enim blandit mi in,1997,224588,9,140406,1
311,curae nulla dapibus dolor vel est donec,3523,212612,8,89959,4
312,orci vehicula condimentum curabitur in libero ut massa,1027,286453,6,80557,2
313,nascetur ridiculus mus etiam,3535,226213,7,258572,2
314,curae duis faucibus,1141,293133,9,154388,5
315,morbi odio odio,3697,41670,8,268323,3
316,nullam porttitor lacus at,380,30486,6,97585,5
317,duis aliquam convallis,568,182871,8,278896,3
318,aliquet ultrices erat tortor sollicitudin mi sit amet,2385,251175,8,17236,1
319,proin leo odio porttitor id consequat in,3673,273833,8,63718,4
320,in eleifend,507,201160,5,201120,5
321,sem praesent id massa,1279,187831,6,261366,1
322,dapibus augue vel accumsan tellus nisi eu orci,162,267214,7,293857,1
323,sapien non mi integer ac neque duis,2591,135007,9,119099,4
324,dolor morbi,3539,46526,5,92111,3
325,molestie lorem quisque ut erat curabitur gravida,595,48396,6,200058,4
326,viverra pede,595,203624,6,24518,2
327,in sagittis dui vel,1901,295615,8,200475,2
328,vel accumsan tellus nisi eu,1807,199886,7,192706,1
329,dui luctus rutrum,3458,286757,8,283044,1
330,in tempus sit amet sem,2878,169498,5,21476,1
331,id justo sit amet,2876,65671,9,79021,2
332,nec sem duis aliquam convallis,148,16584,5,131092,3
333,ultrices enim lorem ipsum dolor sit amet consectetuer,3752,178064,9,169914,5
334,adipiscing elit proin interdum,3868,222301,7,216883,3
335,cras pellentesque volutpat dui,1095,298826,7,46755,3
336,amet lobortis sapien sapien non mi integer,2879,78679,9,211172,1
337,rhoncus aliquam lacus morbi,560,273235,6,59115,5
338,molestie sed justo pellentesque viverra,3577,285276,9,235266,1
339,elementum in hac habitasse,338,88955,8,122480,2
340,sapien cursus vestibulum proin eu mi nulla ac,2393,95868,7,276690,2
341,ipsum primis in faucibus,501,228787,7,122364,4
342,aenean fermentum donec ut mauris eget massa,3212,212481,6,12445,2
343,nulla quisque arcu libero rutrum ac lobortis vel,2784,133900,7,152741,1
344,dapibus nulla suscipit ligula in lacus curabitur,1401,206018,9,141103,3
345,lectus in quam fringilla rhoncus mauris,356,141071,6,118664,5
346,rhoncus mauris enim leo,2511,184530,6,17866,4
347,turpis adipiscing lorem vitae,164,133902,8,197039,3
348,ac neque duis bibendum,306,186293,9,291321,4
349,maecenas pulvinar lobortis est,2009,165379,7,88071,4
350,egestas metus aenean,3431,237661,9,214519,2
351,scelerisque quam turpis adipiscing lorem vitae,2956,128457,6,86484,2
352,ornare imperdiet sapien urna pretium nisl ut volutpat,2482,278231,6,209567,2
353,justo aliquam quis turpis eget elit sodales scelerisque,148,48246,6,181179,1
354,pede posuere,2573,73979,8,39147,3
355,sagittis dui,1300,94033,7,139497,2
356,blandit non interdum in ante vestibulum ante ipsum,2884,132429,6,63081,5
357,vel augue vestibulum rutrum rutrum neque,2865,33171,8,276651,3
358,lacus curabitur at ipsum ac tellus semper interdum,3279,267687,8,127056,3
359,eget vulputate ut ultrices,2611,55568,6,43780,1
360,id massa id nisl venenatis,1585,240464,8,193256,2
361,ultricies eu nibh quisque id justo sit amet,3546,246710,8,281123,5
362,justo pellentesque,2961,209800,8,68912,2
363,erat nulla,3342,85380,8,32927,4
364,id luctus nec molestie sed justo pellentesque viverra,1205,72591,6,8536,5
365,ac nibh fusce lacus purus aliquet at,1824,52212,5,279564,5
366,varius ut blandit,3988,17414,6,14288,5
367,curae nulla dapibus dolor vel est donec odio,3427,244958,7,297879,5
368,lectus vestibulum quam sapien varius ut blandit non,2835,118685,8,170551,4
369,quisque porta volutpat erat quisque erat eros viverra,3922,285628,6,142894,2
370,dapibus dolor,2124,260043,5,248880,5
371,in hac habitasse platea dictumst etiam faucibus cursus,664,213009,8,241915,5
372,sociis natoque penatibus et magnis dis parturient montes,154,98375,5,575,2
373,quam turpis,3645,30291,6,76695,4
374,justo morbi ut odio,2522,46312,8,116416,1
375,luctus et ultrices posuere cubilia curae,1922,70373,5,1159,1
376,phasellus in felis,1674,103538,6,167820,1
377,donec semper sapien a libero nam dui proin,3581,274316,5,85225,3
378,venenatis lacinia aenean sit amet,177,215647,5,181065,2
379,cras pellentesque volutpat dui,3567,89174,7,114661,1
380,pede morbi porttitor lorem id ligula suspendisse,2878,162164,8,299697,3
381,aliquam convallis nunc proin at turpis a pede,1070,123181,7,8551,2
382,justo in blandit,1644,136366,8,240533,3
383,lacinia aenean,860,168347,8,25800,2
384,at nibh in hac habitasse,256,290243,5,227507,2
385,posuere cubilia curae mauris viverra,1812,171294,7,229661,1
386,consequat dui nec nisi volutpat eleifend donec,2289,236996,8,10571,2
387,semper rutrum nulla nunc purus,2552,129853,7,136055,1
388,fermentum justo nec condimentum neque,1116,145791,8,258441,2
389,a ipsum integer,3157,170362,9,87850,4
390,lobortis vel dapibus at diam nam tristique,998,122639,6,77967,3
391,donec dapibus duis at,521,38626,5,5924,4
392,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,1144,276693,6,35683,5
393,posuere nonummy integer non velit donec,374,69411,6,4049,2
394,eget tempus vel pede morbi porttitor,1325,76412,9,51838,3
395,vel augue vestibulum ante ipsum primis in,956,267042,9,76004,5
396,libero convallis eget eleifend luctus ultricies eu,2741,116862,8,103339,4
397,phasellus in felis donec semper sapien a libero,1479,67279,8,20851,3
398,nam dui proin leo odio porttitor id consequat,672,226773,6,134878,2
399,duis bibendum morbi non quam nec,1693,111598,8,265680,2
400,ut massa volutpat convallis morbi odio odio,2535,59438,6,283234,3
401,nulla sed accumsan felis,2445,222085,7,222342,1
402,ligula in lacus curabitur at ipsum ac,3667,191136,9,287654,2
403,felis sed lacus morbi sem mauris,2237,206653,8,220628,4
404,quis turpis eget elit sodales scelerisque,3658,10871,6,96855,3
405,pulvinar lobortis est phasellus sit amet erat nulla,1228,184786,7,176864,4
406,mollis molestie,1934,40884,6,1009,4
407,proin leo odio porttitor id consequat in consequat,3216,135290,5,169369,1
408,praesent lectus vestibulum quam sapien,3900,71829,5,195614,4
409,ut blandit non interdum in ante vestibulum,2405,279295,7,298341,2
410,nec sem,580,14402,5,153427,5
411,leo odio porttitor id consequat in,926,251363,6,104689,5
412,nulla tellus in sagittis,790,232567,6,217257,2
413,etiam vel augue,3286,198863,7,256157,4
414,sit amet turpis,2710,146874,8,157178,3
415,sapien urna pretium nisl ut volutpat sapien arcu,1100,141605,8,201946,3
416,pede venenatis non,1256,40278,6,238724,1
417,praesent id massa id nisl venenatis lacinia aenean,1411,72870,9,32585,4
418,mauris lacinia sapien quis libero nullam,2769,169813,6,114372,5
419,lacus purus,2446,232433,7,139996,5
420,ut erat,3726,276290,6,208737,1
421,lectus pellentesque at nulla suspendisse potenti cras in,1671,93088,7,175527,2
422,luctus rutrum nulla tellus,9,174340,8,102712,4
423,nullam varius nulla facilisi,2111,106811,8,226607,5
424,nunc viverra dapibus,998,35680,9,159986,4
425,et ultrices posuere cubilia curae,110,271761,9,178326,5
426,ut massa volutpat convallis,2881,68293,8,89960,1
427,non mattis pulvinar nulla,893,202758,5,187547,4
428,sapien arcu sed augue,3066,60861,5,195339,4
429,nullam orci,1805,129967,7,56567,1
430,mi in porttitor pede justo eu massa,547,91622,8,91241,1
431,praesent lectus vestibulum quam sapien varius,2131,184076,9,106753,4
432,erat quisque,1740,162094,5,250549,4
433,duis mattis egestas,3046,94383,7,125063,2
434,porta volutpat erat quisque,3738,76595,9,259605,5
435,est congue elementum in,661,271725,7,76725,3
436,lectus suspendisse potenti in eleifend quam a odio,2876,164248,7,130202,2
437,posuere metus vitae ipsum aliquam non mauris,276,11378,7,269906,1
438,eleifend luctus ultricies eu nibh quisque,606,224962,9,253283,1
439,elementum nullam varius,2183,281613,6,104443,2
440,cum sociis natoque penatibus et magnis dis,3727,242758,5,200325,3
441,odio in hac habitasse platea,3492,162960,8,269860,2
442,quam suspendisse potenti nullam porttitor,2507,269925,9,25534,3
443,vitae mattis nibh,1770,133883,6,80374,4
444,amet diam in magna,2482,116165,9,98959,1
445,faucibus orci,749,188086,5,119429,3
446,turpis a pede posuere nonummy integer non velit,302,83834,6,208311,4
447,odio porttitor id consequat in,1088,106042,8,100882,5
448,tempus semper est quam,2384,141453,5,162227,3
449,cras non velit,2756,21780,5,248036,5
450,ultrices posuere cubilia curae nulla dapibus dolor,1284,32940,5,179961,5
451,sed augue aliquam,1706,52683,6,62987,4
452,ultrices vel,2455,194083,9,66898,5
453,eu sapien,2370,123136,9,284262,1
454,dictumst maecenas ut massa,1188,257077,9,218851,4
455,turpis eget elit sodales scelerisque mauris sit amet,3638,18552,5,2638,5
456,bibendum felis sed interdum venenatis turpis enim,724,91520,9,126409,4
457,vulputate luctus cum sociis natoque,1249,93578,8,231210,1
458,vehicula condimentum curabitur,1118,137863,9,56114,2
459,sem fusce consequat nulla nisl nunc nisl,991,295303,5,160040,5
460,volutpat quam pede lobortis,2749,265794,8,141184,2
461,massa volutpat convallis morbi odio odio elementum,2797,26436,5,101053,5
462,sit amet,3407,244864,8,116904,1
463,congue etiam justo etiam pretium,2764,92503,9,18005,4
464,pellentesque ultrices mattis,2854,283456,7,297375,3
465,amet erat,981,73369,6,58515,1
466,vestibulum ante ipsum primis in faucibus orci,1958,74731,6,120121,3
467,in magna bibendum imperdiet nullam orci pede,1987,158227,8,200692,2
468,mauris morbi non lectus aliquam sit amet,308,238716,6,192498,2
469,suspendisse potenti in eleifend quam a odio,3224,39815,7,121087,2
470,nisl nunc rhoncus dui vel sem,828,160888,9,56191,3
471,arcu sed,3885,114304,8,284951,3
472,nunc vestibulum ante ipsum primis in faucibus orci,2329,119600,5,238325,5
473,in faucibus orci luctus,1326,200205,7,184425,1
474,quam suspendisse potenti nullam porttitor lacus at,1128,15814,9,8645,4
475,integer tincidunt ante vel ipsum praesent blandit lacinia,3105,97330,5,56264,4
